LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,Distance
B. Simmons - N. Claxton - C. Johnson - K. Johnson - N. Clowney,BKN,5,61,107.2,124.6,-17.4,64.6,1.41,17.6,30.8,64.7,45.7,0.2,52.3,56.2,97.09,42.5,16.52045577430584
C. LeVert - G. Niang - D. Mitchell - M. Strus - E. Mobley,CLE,10,72,98.2,116.7,-18.5,63.6,1.59,16.3,20.5,70.9,45.1,0.1,50.4,54.3,106.58,41.1,16.605114211144535
C. Kispert - B. Coulibaly - A. Sarr - C. Carrington - K. George,WAS,16,56,109.6,128.2,-18.6,71.4,2.06,20.8,17.3,61.9,41.7,0.1,60.0,63.0,110.57,39.6,19.374429950681694
M. Beasley - I. Stewart - M. Sasser - S. Fontecchio - R. Holland II,DET,17,61,103.8,122.6,-18.8,69.4,1.42,18.5,31.0,63.5,47.9,0.2,57.5,59.9,105.01,41.1,16.304681489620542
J. Valančiūnas - C. Kispert - B. Coulibaly - C. Carrington - K. George,WAS,19,53,109.7,128.6,-18.8,65.9,1.32,19.0,25.6,61.7,44.4,0.2,60.7,64.7,101.76,42.7,19.751610061370595
J. Poeltl - R. Barrett - O. Agbaji - S. Barnes - G. Dick,TOR,6,56,100.0,119.5,-19.5,69.4,1.42,20.4,23.1,81.4,54.1,0.2,56.6,58.0,105.31,41.3,16.614986207731352
G. Niang - D. Mitchell - T. Jerome - S. Merrill - E. Mobley,CLE,13,70,93.6,113.2,-19.6,61.1,3.0,15.6,24.7,76.1,46.3,0.1,43.8,47.0,105.14,39.0,19.79955509772173
J. Butler - T. Rozier - B. Adebayo - T. Herro - N. Jović,MIA,9,95,104.7,124.5,-19.7,65.7,1.92,17.5,26.7,68.5,46.3,0.1,49.1,53.0,96.93,41.5,17.463241908796725
B. Adebayo - D. Robinson - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,7,53,98.0,118.0,-20.0,68.6,1.41,16.9,29.6,72.2,50.9,0.2,47.8,52.3,91.53,41.7,17.408996274871438
T. Rozier - B. Adebayo - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,14,118,96.0,116.0,-20.0,67.4,1.93,17.4,20.7,66.7,42.6,0.1,46.0,50.3,99.12,43.6,18.31557617946176
T. Harris - T. Hardaway Jr. - M. Beasley - J. Ivey - J. Duren,DET,7,52,103.8,124.5,-20.7,64.1,1.25,17.1,30.0,62.7,46.5,0.2,51.7,55.9,96.06,43.8,17.90725601439691
J. Valančiūnas - K. Kuzma - C. Kispert - B. Carrington - K. George,WAS,14,91,106.7,131.1,-24.3,67.1,1.4,18.5,27.9,69.7,49.1,0.2,57.1,60.4,100.74,38.4,22.856446041706956
B. Beal - M. Plumlee - T. Jones - D. Booker - R. O'Neale,PHX,5,54,110.7,136.4,-25.7,71.4,2.14,19.7,19.2,68.0,43.1,0.1,56.5,60.2,98.06,42.4,27.372908139553545
J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,POR,10,126,93.7,123.6,-29.9,58.8,1.16,15.9,24.6,77.7,48.4,0.2,47.4,50.6,102.0,35.8,24.10692947545134
K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,WAS,17,208,86.7,120.3,-33.5,63.6,1.43,15.7,18.5,73.0,42.6,0.1,44.4,46.4,108.15,31.5,28.55394709822498
