Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,6,77,108.3,111.4,-3.1,"A. Nembhard, T. Haliburton, M. Turner, P. Siakam",B. Mathurin,A. Nesmith,-7.299999999999997,11.5,-18.900000000000002,286
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,M. Turner - A. Nembhard - O. Toppin - T. Haliburton - B. Mathurin,IND,19,72,107.5,102.5,5.0,"A. Nembhard, T. Haliburton, M. Turner, B. Mathurin",P. Siakam,O. Toppin,-8.099999999999994,2.5999999999999943,-10.8,291
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,M. Turner - P. Siakam - T. Haliburton - B. Mathurin - J. Walker,IND,14,42,98.9,110.0,-11.1,"M. Turner, T. Haliburton, B. Mathurin, P. Siakam",A. Nembhard,J. Walker,-16.69999999999999,10.099999999999994,-26.9,321
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - B. Mathurin,IND,26,363,115.6,99.9,15.8,T. McConnell - M. Turner - P. Siakam - T. Haliburton - B. Mathurin,IND,13,32,116.9,126.9,-10.0,"M. Turner, T. Haliburton, B. Mathurin, P. Siakam",A. Nembhard,T. McConnell,1.3000000000000114,27.0,-25.8,331
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,MIL,29,300,109.3,112.3,-3.1,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - G. Trent Jr.,MIL,21,153,117.0,117.3,-0.3,"B. Lopez, T. Prince, G. Antetokounmpo, D. Lillard",A. Jackson Jr.,G. Trent Jr.,7.700000000000003,5.0,2.8000000000000003,147
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,MIL,29,300,109.3,112.3,-3.1,B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Green,MIL,17,74,115.6,89.4,26.3,"B. Lopez, T. Prince, G. Antetokounmpo, D. Lillard",A. Jackson Jr.,A. Green,6.299999999999997,-22.89999999999999,29.400000000000002,226
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Jackson Jr.,MIL,29,300,109.3,112.3,-3.1,B. Lopez - D. Lillard - K. Middleton - G. Antetokounmpo - A. Jackson Jr.,MIL,10,45,105.1,109.5,-4.4,"A. Jackson Jr., B. Lopez, G. Antetokounmpo, D. Lillard",T. Prince,K. Middleton,-4.200000000000003,-2.799999999999997,-1.3000000000000003,255
C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,ATL,26,282,111.5,111.7,-0.2,C. Capela - T. Young - D. Hunter - J. Johnson - D. Daniels,ATL,16,104,111.7,100.0,11.7,"T. Young, C. Capela, J. Johnson, D. Daniels",Z. Risacher,D. Hunter,0.20000000000000284,-11.700000000000003,11.899999999999999,178
C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,ATL,26,282,111.5,111.7,-0.2,C. Capela - T. Young - V. Krejčí - D. Daniels - Z. Risacher,ATL,5,39,116.0,111.0,5.1,"T. Young, C. Capela, D. Daniels, Z. Risacher",J. Johnson,V. Krejčí,4.5,-0.7000000000000028,5.3,243
C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,ATL,26,282,111.5,111.7,-0.2,C. Capela - T. Young - G. Mathews - D. Daniels - Z. Risacher,ATL,3,27,100.0,117.2,-17.2,"T. Young, C. Capela, D. Daniels, Z. Risacher",J. Johnson,G. Mathews,-11.5,5.5,-17.0,255
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,OKC,6,64,108.4,98.6,9.8,"S. Gilgeous-Alexander, C. Wallace, L. Dort, J. Williams",I. Hartenstein,C. Holmgren,-8.699999999999989,-2.6000000000000085,-6.0,199
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams,OKC,12,58,117.1,96.2,20.9,"I. Hartenstein, S. Gilgeous-Alexander, L. Dort, J. Williams",C. Wallace,I. Joe,0.0,-5.0,5.099999999999998,205
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - J. Williams - C. Wallace,OKC,20,263,117.1,101.2,15.8,S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,OKC,13,58,118.9,85.4,33.5,"S. Gilgeous-Alexander, C. Wallace, L. Dort, J. Williams",I. Hartenstein,I. Joe,1.8000000000000114,-15.799999999999997,17.7,205
